2026-05-15 21:54:04,676 | INFO | django.utils.autoreload | autoreload:667 | Watching for file changes with StatReloader
2026-05-15 21:54:30,772 | ERROR | system.errors | logger:107 | Slow request: 2.052s for / [user= ip=127.0.0.1 path=/ method=GET ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36]
2026-05-15 21:54:30,774 | INFO | django.server | basehttp:213 | "GET / HTTP/1.1" 200 34433
2026-05-15 21:54:31,993 | INFO | django.server | basehttp:213 | "GET /static/assets/css/style.css HTTP/1.1" 304 0
2026-05-15 21:54:31,997 | INFO | django.server | basehttp:213 | "GET /static/assets/css/ai-assistant.css HTTP/1.1" 304 0
2026-05-15 21:54:33,341 | INFO | django.server | basehttp:213 | "GET /static/assets/images/about_us.png HTTP/1.1" 304 0
2026-05-15 21:54:34,176 | INFO | django.server | basehttp:213 | "GET /static/assets/js/ai-assistant.js HTTP/1.1" 304 0
2026-05-15 21:54:34,893 | WARNING | django.request | log:253 | Not Found: /media/projects/about_us.png
2026-05-15 21:54:34,896 | WARNING | django.server | basehttp:213 | "GET /media/projects/about_us.png HTTP/1.1" 404 13593
2026-05-15 21:54:34,909 | WARNING | django.request | log:253 | Not Found: /media/projects/ChatGPT_Image_May_5_2026_12_27_58_AM.png
2026-05-15 21:54:34,910 | WARNING | django.server | basehttp:213 | "GET /media/projects/ChatGPT_Image_May_5_2026_12_27_58_AM.png HTTP/1.1" 404 13705
2026-05-15 21:55:05,942 | INFO | django.server | basehttp:213 | "GET /login/ HTTP/1.1" 200 17422
2026-05-15 21:55:11,180 | ERROR | system.errors | logger:107 | Slow request: 2.280s for /login/ [user=rahul@SJAM-0004 ip=127.0.0.1 path=/login/ method=POST ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36]
2026-05-15 21:55:11,547 | INFO | django.server | basehttp:213 | "POST /login/ HTTP/1.1" 302 0
2026-05-15 21:55:11,897 | INFO | django.server | basehttp:213 | "GET /employee/dashboard/f9322989-be01-48cc-a86b-ffbcdc575076/ HTTP/1.1" 200 25038
2026-05-15 21:55:18,887 | WARNING | django.request | log:253 | Not Found: /.well-known/appspecific/com.chrome.devtools.json
2026-05-15 21:55:18,889 | WARNING | django.server | basehttp:213 | "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 13383
2026-05-15 21:55:18,999 | WARNING | django.server | basehttp:213 | "GET /static/lib/bootstrap-5/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 1952
2026-05-15 21:55:19,161 | WARNING | django.server | basehttp:213 | "GET /static/lib/bootstrap-5/css/bootstrap.min.css.map HTTP/1.1" 404 1937
2026-05-15 21:55:51,372 | INFO | django.server | basehttp:213 | "GET /controller/ HTTP/1.1" 200 19625
2026-05-15 21:55:51,570 | WARNING | django.request | log:253 | Not Found: /.well-known/appspecific/com.chrome.devtools.json
2026-05-15 21:55:51,574 | WARNING | django.server | basehttp:213 | "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 13383
2026-05-15 21:55:51,667 | WARNING | django.server | basehttp:213 | "GET /static/lib/bootstrap-5/css/bootstrap.min.css.map HTTP/1.1" 404 1937
2026-05-15 21:55:51,682 | WARNING | django.server | basehttp:213 | "GET /static/lib/bootstrap-5/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 1952
2026-05-15 21:57:08,862 | INFO | django.server | basehttp:213 | "GET /students HTTP/1.1" 200 24638
2026-05-15 21:57:09,052 | WARNING | django.request | log:253 | Not Found: /.well-known/appspecific/com.chrome.devtools.json
2026-05-15 21:57:09,068 | WARNING | django.server | basehttp:213 | "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 13383
2026-05-15 21:57:09,272 | WARNING | django.server | basehttp:213 | "GET /static/lib/bootstrap-5/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 1952
2026-05-15 21:57:09,273 | WARNING | django.server | basehttp:213 | "GET /static/lib/bootstrap-5/css/bootstrap.min.css.map HTTP/1.1" 404 1937
2026-05-15 21:57:14,801 | INFO | django.server | basehttp:213 | "GET /students/certificate/ed6475a2-626d-4b7c-a5da-1054140878da/preview/ HTTP/1.1" 200 15401
2026-05-15 21:57:14,868 | INFO | django.server | basehttp:213 | "GET /static/assets/images/SGAutomixTech-removebg-certificat.png HTTP/1.1" 200 89448
2026-05-15 21:57:15,024 | WARNING | django.request | log:253 | Not Found: /.well-known/appspecific/com.chrome.devtools.json
2026-05-15 21:57:15,026 | WARNING | django.server | basehttp:213 | "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 13383
2026-05-15 21:57:15,031 | INFO | django.server | basehttp:213 | "GET /static/assets/images/signature/shubham_signature_removebg-preview.png HTTP/1.1" 200 85589
2026-05-15 21:57:15,036 | INFO | django.server | basehttp:213 | "GET /static/assets/images/badg_SG.png HTTP/1.1" 200 715398
2026-05-15 21:57:15,039 | INFO | django.server | basehttp:213 | "GET /static/assets/images/signature/shivam_signature_removebg-preview.png HTTP/1.1" 200 10794
2026-05-15 21:57:15,042 | INFO | django.server | basehttp:213 | "GET /static/assets/images/stamp_dark1-removebg-preview.png HTTP/1.1" 200 292366
2026-05-15 22:05:18,526 | INFO | django.server | basehttp:213 | "GET / HTTP/1.1" 200 37702
2026-05-15 22:05:19,077 | WARNING | django.request | log:253 | Not Found: /media/projects/about_us.png
2026-05-15 22:05:19,078 | WARNING | django.server | basehttp:213 | "GET /media/projects/about_us.png HTTP/1.1" 404 13593
2026-05-15 22:05:19,106 | WARNING | django.request | log:253 | Not Found: /media/projects/ChatGPT_Image_May_5_2026_12_27_58_AM.png
2026-05-15 22:05:19,107 | WARNING | django.server | basehttp:213 | "GET /media/projects/ChatGPT_Image_May_5_2026_12_27_58_AM.png HTTP/1.1" 404 13705
2026-05-15 22:05:33,150 | INFO | django.server | basehttp:213 | "GET /controller/ HTTP/1.1" 200 19625
2026-05-15 22:05:34,619 | INFO | django.server | basehttp:213 | "GET /employees HTTP/1.1" 200 21194
2026-05-15 22:05:36,514 | INFO | django.server | basehttp:213 | "GET /employees/add/ HTTP/1.1" 200 23794
2026-05-15 22:06:23,835 | INFO | django.server | basehttp:213 | "GET / HTTP/1.1" 200 34433
